V1	V2
3097196395_ec06075389.jpg	<START> two dogs race across the track . <END>
3097196395_ec06075389.jpg	<START> Two greyhounds race <END>
3097196395_ec06075389.jpg	<START> Two greyhounds with muzzles race along the inside curb of a railed dirt track . <END>
3097196395_ec06075389.jpg	<START> Two racing dogs run around a track . <END>
3603116579_4a28a932e2.jpg	<START> A baseball pitcher with Shelton on his shirt throws the ball . <END>
3603116579_4a28a932e2.jpg	<START> A baseball player in a black and orange shirt , and with a glove on , pitches the ball . <END>
3603116579_4a28a932e2.jpg	<START> A male dressed in a sports outfit tries to catch a baseball . <END>
3603116579_4a28a932e2.jpg	<START> A man playing baseball . <END>
3603116579_4a28a932e2.jpg	<START> The baseball player is running after the ball . <END>
3339263085_6db9fd0981.jpg	<START> A brown dog wades through water and walks toward a rock . <END>
3339263085_6db9fd0981.jpg	<START> A dog has waded through shallow water to reach a rock outcropping . <END>
3339263085_6db9fd0981.jpg	<START> A light brown dog is splashing in the water with its paw . <END>
3339263085_6db9fd0981.jpg	<START> A small brown dog is about ready to exit the water after a swim . <END>
3339263085_6db9fd0981.jpg	<START> A yellow dog in shallow water . <END>
2532262109_87429a2cae.jpg	<START> A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture . <END>
2532262109_87429a2cae.jpg	<START> A group of people are standing together outside as one takes a photograph . <END>
2532262109_87429a2cae.jpg	<START> A group of school girls are standing together while one is taking pictures . <END>
2532262109_87429a2cae.jpg	<START> A group of young women stand together . <END>
2532262109_87429a2cae.jpg	<START> Girls in school uniforms . <END>
2076906555_c20dc082db.jpg	<START> A boy wearing a jean jacket with his hand on his chest smiling at the camera . <END>
2076906555_c20dc082db.jpg	<START> a boy with a bruised nose and writing on his hands is standing in a video rental store . <END>
2076906555_c20dc082db.jpg	<START> A boy with writing on his hand is standing in a store . <END>
2076906555_c20dc082db.jpg	<START> A young man in a jean jacket smiles for the camera inside a store . <END>
2076906555_c20dc082db.jpg	<START> A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos . <END>
2502007071_82a8c639cf.jpg	<START> A group of people in front of a house . <END>
2502007071_82a8c639cf.jpg	<START> A man in stripes , a woman in sunglasses , and a child in a blue hat in front of a brick building . <END>
2502007071_82a8c639cf.jpg	<START> A woman in sunglasses and a blue flowered shirt stands while a boy and a man sit nearby . <END>
2502007071_82a8c639cf.jpg	<START> A woman wearing sunglasses and a flowered shirt looks to the left . <END>
2502007071_82a8c639cf.jpg	<START> Three adults and one child are waiting outside of a building , perhaps a school . <END>
3113769557_9edbb8275c.jpg	<START> A woman stands in front of a display case and another woman looks at a digital camera <END>
3113769557_9edbb8275c.jpg	<START> A woman stands tall in front of a glass display while another woman takes a picture of something . <END>
3113769557_9edbb8275c.jpg	<START> A woman stands with her arms out at her sides while another takes a picture . <END>
3113769557_9edbb8275c.jpg	<START> A woman stands with her arms out in a store while another woman holds a camera . <END>
3113769557_9edbb8275c.jpg	<START> One woman is taking a picture and another woman is standing sideways with her arm out . <END>
3325974730_3ee192e4ff.jpg	<START> A snowboarder jumps high into the air off of a snowy ramp . <END>
3325974730_3ee192e4ff.jpg	<START> A snowboarder jumps off a ramp . <END>
3325974730_3ee192e4ff.jpg	<START> Man on a snowboard performing a trick high in the air . <END>
3325974730_3ee192e4ff.jpg	<START> Person in a purple coat making a jump on a snowboard . <END>
3325974730_3ee192e4ff.jpg	<START> Snowboarder jumps off high ramp over icy landscape . <END>
1655781989_b15ab4cbff.jpg	<START> A group of mountain climbers <END>
1655781989_b15ab4cbff.jpg	<START> A group of people walking in a line through the snow toward a mountain . <END>
1655781989_b15ab4cbff.jpg	<START> A line of people are making their way through snow covered mountains . <END>
1655781989_b15ab4cbff.jpg	<START> People are walking through a snow covered field with a mountain the background . <END>
1655781989_b15ab4cbff.jpg	<START> People facing mountains in the snow . <END>
1662261486_db967930de.jpg	<START> A black and white dog is jumping through a black and white hoop . <END>
1662261486_db967930de.jpg	<START> A black and white dog jumps through a black and white hoop . <END>
1662261486_db967930de.jpg	<START> A brown and white dog jumping through a black and white hoop . <END>
1662261486_db967930de.jpg	<START> A dog jumping through a black and white hoop . <END>
1662261486_db967930de.jpg	<START> A dog jumping through a ring . <END>
2410562803_56ec09f41c.jpg	<START> A girl using a laptop , another girl , and a boy looking at his cellphone . <END>
2410562803_56ec09f41c.jpg	<START> A group of people sit against a building and use electronics . <END>
2410562803_56ec09f41c.jpg	<START> Three people sit near a street . <END>
2410562803_56ec09f41c.jpg	<START> Three people sitting in front of a store on a bench . <END>
2410562803_56ec09f41c.jpg	<START> Three young people sit outside and engage with electronic devices . <END>
2469498117_b4543e1460.jpg	<START> A dog races while wearing number 6 . <END>
2469498117_b4543e1460.jpg	<START> A greyhound wearing a muzzle and the number six on a yellow jacket is running on a dog track . <END>
2469498117_b4543e1460.jpg	<START> a muzzle greyhound dog running on a track <END>
2469498117_b4543e1460.jpg	<START> A tan greyhound wearing a gold shirt with a number on it runs down a track . <END>
2469498117_b4543e1460.jpg	<START> muxzzled greyhound leaping in race with yellow jacket . <END>
69710415_5c2bfb1058.jpg	<START> A group of people stand at the edge of a cliff over the ocean . <END>
69710415_5c2bfb1058.jpg	<START> A group of three boy scouts rest on a bluff overlooking the ocean . <END>
69710415_5c2bfb1058.jpg	<START> Three men stand on a cliff overlooking a lake . <END>
69710415_5c2bfb1058.jpg	<START> Three scouts are on top of a cliff overlooking the ocean . <END>
69710415_5c2bfb1058.jpg	<START> Two men are sitting on a rock near the ocean with another man standing nearby . <END>
3414734842_beb543f400.jpg	<START> A couple holding hands and another woman are walking down a wooded trail . <END>
3414734842_beb543f400.jpg	<START> A couple holding hands and a woman standing beside them pose on a tree lined dirt road . <END>
3414734842_beb543f400.jpg	<START> Three friends on a stroll in the forest . <END>
3414734842_beb543f400.jpg	<START> Three people stand on a path through the woods . <END>
3414734842_beb543f400.jpg	<START> Two women and a man posing on a rural path <END>
3006217970_90b42e6b27.jpg	<START> A car sponsored by Riwal is smoking its tires on a wet road . <END>
3006217970_90b42e6b27.jpg	<START> A race car drives along a track in the rain <END>
3006217970_90b42e6b27.jpg	<START> A racing car is driving around a wet track with its headlights on . <END>
3006217970_90b42e6b27.jpg	<START> A small race car with advertising is driving on a rainy track . <END>
3006217970_90b42e6b27.jpg	<START> A sponsored race car is driving with lights on a wet raceway . <END>
2192411521_9c7e488c5e.jpg	<START> A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle . <END>
2192411521_9c7e488c5e.jpg	<START> A man bicycles down the street and points his finger <END>
2192411521_9c7e488c5e.jpg	<START> A man holds an object with his hand while riding his bike down the street . <END>
2192411521_9c7e488c5e.jpg	<START> A man with long hair riding a bicycle gives the peace sign . <END>
2192411521_9c7e488c5e.jpg	<START> Man in blue shirt and black cap riding bike down street flashing peace sign <END>
3535879138_9281dc83d5.jpg	<START> A crowd of people waving red flags are passing under a bridge . <END>
3535879138_9281dc83d5.jpg	<START> A group of people walk down the street carrying red flags . <END>
3535879138_9281dc83d5.jpg	<START> A large group of people walking down a street , some carrying flags or banners . <END>
3535879138_9281dc83d5.jpg	<START> Many people walking together on pavement near a brick building with other people looking on . <END>
3535879138_9281dc83d5.jpg	<START> many people walk in the street . <END>
2685788323_ceab14534a.jpg	<START> A man in sunglasses gets ready to pull a chair out to sit down for his meal . <END>
2685788323_ceab14534a.jpg	<START> A man wearing sunglasses stands by a table at a cafe . <END>
2685788323_ceab14534a.jpg	<START> Man about to pull out chair and sit down at a restaurant . <END>
2685788323_ceab14534a.jpg	<START> Man at eatery getting ready to sit down . <END>
2685788323_ceab14534a.jpg	<START> The large man grabs a seat at a restaurant . <END>
3465606652_f380a38050.jpg	<START> A boy holding a racket is standing in the grass . <END>
3465606652_f380a38050.jpg	<START> A boy in a purple shirt and blue jeans is standing in the grass holding a round toy with a handle . <END>
3465606652_f380a38050.jpg	<START> A boy playes with a stringless racket in his backyard . <END>
3465606652_f380a38050.jpg	<START> a boy walks through the lawn . <END>
3465606652_f380a38050.jpg	<START> A child in purple clothing is playing with a toy inside a yard with other toys and a fence . <END>
2599131872_65789d86d5.jpg	<START> Two blond girls are playing together . <END>
2599131872_65789d86d5.jpg	<START> Two girls enjoy themselves whilst wind blows through their hair . <END>
2599131872_65789d86d5.jpg	<START> Two girls with long hair jumping on a trampoline . <END>
2599131872_65789d86d5.jpg	<START> Two little blonde girls twirl their hair . <END>
2599131872_65789d86d5.jpg	<START> Two little girls are playing on a trampoline . <END>
2244613488_4d1f9edb33.jpg	<START> Four bicyclists ride along a dirt road between two wire fences . <END>
2244613488_4d1f9edb33.jpg	<START> Four cyclists on a country trail are passing by an electricity pylon . <END>
2244613488_4d1f9edb33.jpg	<START> The four bicyclists are riding through the desert . <END>
2244613488_4d1f9edb33.jpg	<START> three bikers bike across the dry land . <END>
2244613488_4d1f9edb33.jpg	<START> Three cyclists ride near mountain . <END>
2738077433_10e6264b6f.jpg	<START> A dog climbing a steep dirt hill . <END>
2738077433_10e6264b6f.jpg	<START> A dog climbs a hill . <END>
2738077433_10e6264b6f.jpg	<START> a great Dane climbing a steep hill <END>
2738077433_10e6264b6f.jpg	<START> A light brown dog is running up . <END>
2738077433_10e6264b6f.jpg	<START> A light dog climbing a wall of dirt . <END>
3537201804_ce07aff237.jpg	<START> A child spins on a merry-go-round . <END>
3537201804_ce07aff237.jpg	<START> Childern are playing on a merry go round as adults on a bench watch them . <END>
3537201804_ce07aff237.jpg	<START> Children play on a merry-go-round as adults look on from a bench . <END>
3537201804_ce07aff237.jpg	<START> Fathers watch as their children enjoy the spinning merry-go-round . <END>
3537201804_ce07aff237.jpg	<START> Two kids sit in the middle of a playground toy that spins around them . <END>
1597557856_30640e0b43.jpg	<START> a brown dog is jumping up at a woman who is wearing a brown skirt . <END>
1597557856_30640e0b43.jpg	<START> A golden retriever is excitedly greeting a woman as a little dog walks towards the camera . <END>
1597557856_30640e0b43.jpg	<START> A tan dog jumping up at a woman in a skirt and a black and tan dog walking away . <END>
1597557856_30640e0b43.jpg	<START> A yellow dog jumps to greet a woman . <END>
1597557856_30640e0b43.jpg	<START> One dog is jumping at the lady while the other walks away . <END>
3357194782_c261bb6cbf.jpg	<START> A man in the dooorway of a bus looking onward . <END>
3357194782_c261bb6cbf.jpg	<START> A man standing at the door of a vehicle , with another sitting , glancing out the window . <END>
3357194782_c261bb6cbf.jpg	<START> People ride a bus or trolley . <END>
3357194782_c261bb6cbf.jpg	<START> some people riding an old bus <END>
3357194782_c261bb6cbf.jpg	<START> Three passengers on a train car . <END>
3682038869_585075b5ff.jpg	<START> A little girl is peaking out from behind a tree . <END>
3682038869_585075b5ff.jpg	<START> A little girl peering out from behind a tree . <END>
3682038869_585075b5ff.jpg	<START> A young girl hiding behind a tree in a forest . <END>
3682038869_585075b5ff.jpg	<START> A young girl peeking out from behind a tree in a wooded area . <END>
3682038869_585075b5ff.jpg	<START> A young girl wearing a striped dress peeks out from behind a tree . <END>
236474697_0c73dd5d8b.jpg	<START> A group of people hold drinks and point at the camera . <END>
236474697_0c73dd5d8b.jpg	<START> A group of people are holding up drinks and pointing to the camera . <END>
236474697_0c73dd5d8b.jpg	<START> A group of young people holding bottles and pointing at the camera . <END>
236474697_0c73dd5d8b.jpg	<START> several young people posing for this photo holding beers <END>
236474697_0c73dd5d8b.jpg	<START> Young adults stand pointing at the person taking the picture . <END>
2641288004_30ce961211.jpg	<START> A border collie jumps over a bed with a tennis ball in its mouth . <END>
2641288004_30ce961211.jpg	<START> A dog jumping with a ball in its mouth . <END>
2641288004_30ce961211.jpg	<START> A dog jumps on a bed and catches a green toy . <END>
2641288004_30ce961211.jpg	<START> Border collie jumps in the air and catches a tennis ball . <END>
2641288004_30ce961211.jpg	<START> The black and white dog jumps with a tennis ball in its mouth . <END>
267164457_2e8b4d30aa.jpg	<START> A climber walks along a snowy peak . <END>
267164457_2e8b4d30aa.jpg	<START> A man climbs over snow covered rocks by a shore . <END>
267164457_2e8b4d30aa.jpg	<START> A man is standing on a snowcapped mountain . <END>
267164457_2e8b4d30aa.jpg	<START> A person hikes down a snowy mountain . <END>
267164457_2e8b4d30aa.jpg	<START> There man on top of an snow covered mountain with a lake behind him . <END>
2453891449_fedb277908.jpg	<START> A white dog chasing a black dog across the grass . <END>
2453891449_fedb277908.jpg	<START> A white dog is following a black dog through the grassy area . <END>
2453891449_fedb277908.jpg	<START> There are two dogs , black and white , and the black one is jumping . <END>
2453891449_fedb277908.jpg	<START> Two dogs running in a grassy , fenced in area surrounded by trees . <END>
2453891449_fedb277908.jpg	<START> Two dogs running through a yard with a forest in the distance . <END>
281419391_522557ce27.jpg	<START> A black race car spins its tires while smoke comes out . <END>
281419391_522557ce27.jpg	<START> A black race car starts up in front of a crowd of people . <END>
281419391_522557ce27.jpg	<START> A broken down car during a race <END>
281419391_522557ce27.jpg	<START> Race car smoking very badly on the racetrack . <END>
281419391_522557ce27.jpg	<START> Red Bull-branded race car leaves smoke behind it in front of a crowd . <END>
354999632_915ea81e53.jpg	<START> A person behind some bags inside an igloo . <END>
354999632_915ea81e53.jpg	<START> a snowy cave full of luggage <END>
354999632_915ea81e53.jpg	<START> Inside the igloo , the young man gets ready for his overnight stay . <END>
354999632_915ea81e53.jpg	<START> Some backpacks piled up in an ice cave with a person dressed in black in the background . <END>
354999632_915ea81e53.jpg	<START> There is something visible through the hole in the wall . <END>
3109136206_f7d201b368.jpg	<START> A brown dog drinks from a body of water . <END>
3109136206_f7d201b368.jpg	<START> A brown dog is starting to walk into water . <END>
3109136206_f7d201b368.jpg	<START> A brown dog steps into murky water . <END>
3109136206_f7d201b368.jpg	<START> A dog getting into some water . <END>
3109136206_f7d201b368.jpg	<START> A dog putting his legs into a pond <END>
2281054343_95d6d3b882.jpg	<START> A man wearing a black hat is walking through a busy city street . <END>
2281054343_95d6d3b882.jpg	<START> A silhouette of a man in a hat on a busy city street . <END>
2281054343_95d6d3b882.jpg	<START> Person with black hat and black coat near buildings with signs . <END>
2281054343_95d6d3b882.jpg	<START> Three people in a crowded city area . <END>
2281054343_95d6d3b882.jpg	<START> Thre is a shot of man with his back turned in a city . <END>
3296584432_bef3c965a3.jpg	<START> A brown dog chases something a man behind him threw on the beach . <END>
3296584432_bef3c965a3.jpg	<START> A man and a dog on the beach . <END>
3296584432_bef3c965a3.jpg	<START> A man is interacting with a dog that is running in the opposite direction . <END>
3296584432_bef3c965a3.jpg	<START> A man playing fetch with his dog on a beach . <END>
3296584432_bef3c965a3.jpg	<START> A man walking behind a running dog on the beach . <END>
3526431764_056d2c61dc.jpg	<START> A woman taking a photo standing next to a tall man and in front of another man who is also taking a photo . <END>
3526431764_056d2c61dc.jpg	<START> Three people are outdoors taking pictures . <END>
3526431764_056d2c61dc.jpg	<START> Three people holding cameras are standing on a dirt trail with grass on the side of it . <END>
3526431764_056d2c61dc.jpg	<START> Three people taking pictures with their cameras <END>
3526431764_056d2c61dc.jpg	<START> Two people are taking pictures while a third is holding a camera . <END>
3549997413_01388dece0.jpg	<START> A man is skiing down a mountain with another large mountain behind him and a river between the mountains . <END>
3549997413_01388dece0.jpg	<START> A man is skiing down a snowy hill with a large mountain in the background . <END>
3549997413_01388dece0.jpg	<START> A man skiing down a snow covered mountain . <END>
3549997413_01388dece0.jpg	<START> A person skis down a snowy mountain . <END>
3549997413_01388dece0.jpg	<START> A skier goes down a hill with a mountain as a backdrop . <END>
143688895_e837c3bc76.jpg	<START> A boy climbing a rock face <END>
143688895_e837c3bc76.jpg	<START> A climber is standing on the rock face next to the pink rope . <END>
143688895_e837c3bc76.jpg	<START> A man climbing a cliff with a rope . <END>
143688895_e837c3bc76.jpg	<START> A man climbs steep rocks . <END>
143688895_e837c3bc76.jpg	<START> A man rock climbing in the forest surrounded by light . <END>
2495394666_2ef6c37519.jpg	<START> A brown dog is standing in a lake . <END>
2495394666_2ef6c37519.jpg	<START> A brown dog is swimming in a creek . <END>
2495394666_2ef6c37519.jpg	<START> A dog swimming in a pond <END>
2495394666_2ef6c37519.jpg	<START> Dog swimming in body of water <END>
2495394666_2ef6c37519.jpg	<START> The brown dog is swimming in the water . <END>
3384742888_85230c34d5.jpg	<START> A dog plays with a toy in the grass . <END>
3384742888_85230c34d5.jpg	<START> A rotweiler playfully rolls over int he grass with a toy . <END>
3384742888_85230c34d5.jpg	<START> Black and tan dog playing with a toy and rolling on the grass . <END>
3384742888_85230c34d5.jpg	<START> Dog chewing up ball while rolling in grass <END>
3384742888_85230c34d5.jpg	<START> The dog is resting after a game of fetch . <END>
1160034462_16b38174fe.jpg	<START> A elderly man in a straw hat is sitting on a bench . <END>
1160034462_16b38174fe.jpg	<START> a elderly man sits alone on a park bench . <END>
1160034462_16b38174fe.jpg	<START> An old man in a straw hat sits on a park bench . <END>
1160034462_16b38174fe.jpg	<START> The old man in the brown hat is sitting on the bench . <END>
1160034462_16b38174fe.jpg	<START> White haired man in gray sweater and a straw hat sitting on a bench under a tree . <END>
334768700_51c439b9ee.jpg	<START> A dark-haired man in a red t-shirt , with a beard , playing the guitar in a park . <END>
334768700_51c439b9ee.jpg	<START> A man in a red shirt plays guitar in a park . <END>
334768700_51c439b9ee.jpg	<START> A man is sitting and playing guitar on the grass . <END>
334768700_51c439b9ee.jpg	<START> a man sitting in the grass , playing his guitar , wearing a red shirt <END>
334768700_51c439b9ee.jpg	<START> a man wearing red plays his guitar on the grass . <END>
412101267_7257e6d8c0.jpg	<START> Two black dogs are jumping and playing with a yellow tennis ball in the snow . <END>
412101267_7257e6d8c0.jpg	<START> Two dog play in the snow . <END>
412101267_7257e6d8c0.jpg	<START> Two dogs , one with a tennis ball in his mouth , play together in the snow . <END>
412101267_7257e6d8c0.jpg	<START> Two dogs playing with a ball in the snow . <END>
412101267_7257e6d8c0.jpg	<START> Two dogs play with a tennis ball in the snow . <END>
2623939135_0cd02ffa5d.jpg	<START> An attractive woman holds a halo above her head . <END>
2623939135_0cd02ffa5d.jpg	<START> A woman in a dress raises her arm over her head . <END>
2623939135_0cd02ffa5d.jpg	<START> A woman is looking at the ceiling while taking off her hat . <END>
2623939135_0cd02ffa5d.jpg	<START> A woman looking up towards a wide ring , she is holding over her head , a drink in her other hand . <END>
2623939135_0cd02ffa5d.jpg	<START> A woman looking upward with her hand above her head . <END>
3043266735_904dda6ded.jpg	<START> An elderly person with a white hat is reading a paperback book . <END>
